flightn,airline,dep_time,dep_port,arr_time,arr_port,craft_type
2891,American Airlines,6:40 AM,LAX,8:15 AM,SFO,738
2861,American Airlines,8:20 AM,LAX,9:59 AM,SFO,738
497,American Airlines,12:30 PM,LAX,2:04 PM,SFO,319
1900,American Airlines,4:48 PM,LAX,6:19 PM,SFO,319
1095,American Airlines,6:17 PM,LAX,7:49 PM,SFO,738
892,American Airlines,8:00 PM,LAX,9:32 PM,SFO,321
2027,American Airlines,6:00 AM,LAX,8:28 AM,PHX,321
1662,American Airlines,7:22 AM,LAX,9:55 AM,PHX,321
1702,American Airlines,10:05 AM,LAX,12:32 PM,PHX,321
899,American Airlines,4:44 PM,LAX,7:11 PM,PHX,321
53,American Airlines,7:42 PM,LAX,10:06 PM,PHX,321
2418,American Airlines,3:45 PM,LAX,7:07 PM,DEN,319
1409,American Airlines,8:00 AM,LAX,3:20 PM,ATL,738
890,American Airlines,10:14 AM,LAX,5:33 PM,ATL,738
2601,American Airlines,4:29 PM,LAX,11:47 PM,ATL,321
362,American Airlines,1:20 AM,LAX,7:24 AM,ORD,321
2452,American Airlines,6:15 AM,LAX,12:25 PM,ORD,321
1598,American Airlines,7:00 AM,LAX,1:10 PM,ORD,321
256,American Airlines,9:26 AM,LAX,3:33 PM,ORD,738
1384,American Airlines,11:25 AM,LAX,5:35 PM,ORD,738
2348,American Airlines,1:27 PM,LAX,7:39 PM,ORD,321
426,American Airlines,3:19 PM,LAX,9:25 PM,ORD,321
1423,American Airlines,6:02 AM,LAX,2:25 PM,BOS,321
167,American Airlines,10:32 AM,LAX,6:54 PM,BOS,321
1628,American Airlines,3:40 PM,LAX,11:59 PM,BOS,321
1339,American Airlines,9:05 AM,LAX,4:53 PM,IAD,738
292,American Airlines,12:30 AM,LAX,8:48 AM,JFK,32B
118,American Airlines,7:00 AM,LAX,3:18 PM,JFK,32B
2,American Airlines,8:00 AM,LAX,4:19 PM,JFK,32B
238,American Airlines,10:00 AM,LAX,6:23 PM,JFK,32B
4,American Airlines,11:00 AM,LAX,7:25 PM,JFK,32B
274,American Airlines,12:00 PM,LAX,8:24 PM,JFK,32B
32,American Airlines,2:00 PM,LAX,10:18 PM,JFK,32B
1868,American Airlines,8:47 AM,SFO,11:54 AM,PHX,321
1880,American Airlines,11:46 AM,SFO,2:55 PM,PHX,321
1037,American Airlines,4:10 PM,SFO,7:09 PM,PHX,321
2614,American Airlines,7:45 AM,SFO,2:04 PM,ORD,738
2691,American Airlines,9:00 AM,SFO,3:19 PM,ORD,738
345,American Airlines,11:01 AM,SFO,5:26 PM,ORD,738
1462,American Airlines,2:38 PM,SFO,8:58 PM,ORD,738
164,American Airlines,8:27 AM,SFO,4:59 PM,JFK,32B
1880,American Airlines,8:59 AM,PHX,10:12 AM,SFO,321
1844,American Airlines,11:29 AM,PHX,12:43 PM,SFO,321
686,American Airlines,6:20 PM,PHX,7:31 PM,SFO,321
710,American Airlines,12:18 PM,PHX,2:33 PM,SEA,321
2197,American Airlines,3:07 PM,PHX,5:22 PM,SEA,321
578,American Airlines,6:33 PM,PHX,8:49 PM,SEA,321
482,American Airlines,9:26 AM,PHX,11:19 AM,DEN,320
1743,American Airlines,1:45 PM,PHX,3:38 PM,DEN,321
412,American Airlines,5:25 PM,PHX,7:13 PM,DEN,738
2315,American Airlines,8:15 PM,PHX,10:05 PM,DEN,321
462,American Airlines,11:47 AM,PHX,5:21 PM,ATL,320
2765,American Airlines,8:00 AM,PHX,12:30 PM,ORD,321
739,American Airlines,9:23 AM,PHX,1:53 PM,ORD,321
1597,American Airlines,11:15 AM,PHX,3:44 PM,ORD,321
615,American Airlines,1:11 PM,PHX,5:40 PM,ORD,321
883,American Airlines,2:50 PM,PHX,7:21 PM,ORD,321
891,American Airlines,4:45 PM,PHX,9:12 PM,ORD,321
1583,American Airlines,6:20 PM,PHX,10:44 PM,ORD,738
1569,American Airlines,9:46 AM,PHX,4:39 PM,BOS,738
2320,American Airlines,2:15 PM,PHX,9:00 PM,BOS,321
2763,American Airlines,5:14 PM,PHX,11:57 PM,BOS,321
2651,American Airlines,12:23 AM,PHX,7:00 AM,JFK,738
2339,American Airlines,10:50 AM,PHX,5:29 PM,JFK,738
2768,American Airlines,12:18 PM,PHX,7:00 PM,JFK,321
2434,American Airlines,1:41 PM,PHX,8:29 PM,JFK,321
1388,American Airlines,4:33 PM,PHX,11:12 PM,JFK,738
2859,American Airlines,7:20 AM,SEA,11:17 AM,PHX,321
500,American Airlines,3:23 PM,SEA,7:08 PM,PHX,321
2197,American Airlines,6:12 PM,SEA,10:02 PM,PHX,321
1540,American Airlines,6:00 AM,SEA,12:06 PM,ORD,738
1045,American Airlines,1:33 PM,SEA,7:42 PM,ORD,738
1165,American Airlines,3:23 PM,SEA,9:23 PM,ORD,738
1404,American Airlines,7:50 AM,DEN,10:13 AM,PHX,321
482,American Airlines,12:04 PM,DEN,2:05 PM,PHX,320
2065,American Airlines,2:57 PM,DEN,5:05 PM,PHX,321
420,American Airlines,6:00 PM,DEN,8:06 PM,PHX,321
2771,American Airlines,7:00 AM,DEN,10:45 AM,ORD,738
2470,American Airlines,12:29 PM,DEN,3:58 PM,ORD,319
317,American Airlines,2:20 PM,DEN,5:47 PM,ORD,738
1160,American Airlines,5:22 PM,DEN,8:55 PM,ORD,320
476,American Airlines,11:11 AM,ATL,1:35 PM,PHX,320
440,American Airlines,6:06 PM,ATL,8:35 PM,PHX,320
2893,American Airlines,6:12 AM,ATL,7:23 AM,ORD,319
1574,American Airlines,7:45 AM,ATL,8:56 AM,ORD,319
1691,American Airlines,5:53 PM,ATL,7:17 PM,ORD,319
345,American Airlines,7:04 AM,ORD,10:00 AM,SFO,738
2634,American Airlines,10:55 AM,ORD,1:52 PM,SFO,738
