flightn,airline,dep_time,dep_port,arr_time,arr_port,craft_type
UA0471,United Airlines,6:30 AM,LAX,8:06 AM,SFO,Airbus A319
UA0488,United Airlines,8:54 AM,LAX,10:39 AM,SFO,Boeing 737-800
UA0708,United Airlines,9:30 AM,LAX,11:15 AM,SFO,Boeing 757-200
UA2186,United Airlines,10:45 AM,LAX,12:30 PM,SFO,Boeing 737-800
UA0317,United Airlines,11:03 AM,LAX,12:48 PM,SFO,Boeing 737-800
UA0447,United Airlines,12:15 PM,LAX,1:51 PM,SFO,Boeing 737-800
UA0460,United Airlines,3:45 PM,LAX,5:21 PM,SFO,Boeing 737-900
UA0481,United Airlines,6:30 PM,LAX,8:06 PM,SFO,Boeing 737-800
UA0283,United Airlines,7:45 PM,LAX,9:21 PM,SFO,Airbus A320
UA2201,United Airlines,9:10 PM,LAX,10:45 PM,SFO,Boeing 737-900
UA2142,United Airlines,6:30 AM,LAX,9:53 AM,DEN,Boeing 737-800
UA2293,United Airlines,9:00 AM,LAX,12:28 PM,DEN,Boeing 737-800
UA2049,United Airlines,11:13 AM,LAX,2:41 PM,DEN,Boeing 737-900
UA0314,United Airlines,1:10 PM,LAX,4:24 PM,DEN,Boeing 777-200
UA1942,United Airlines,1:13 PM,LAX,4:35 PM,DEN,Boeing 737-900
UA1711,United Airlines,4:08 PM,LAX,7:29 PM,DEN,Boeing 757-300
UA1771,United Airlines,6:14 PM,LAX,9:35 PM,DEN,Boeing 737-900
UA1146,United Airlines,12:55 AM,LAX,6:49 AM,ORD,Boeing 737-800
UA2265,United Airlines,7:00 AM,LAX,1:01 PM,ORD,Boeing 757-300
UA2039,United Airlines,8:30 AM,LAX,2:37 PM,ORD,Boeing 757-300
UA0613,United Airlines,10:40 AM,LAX,4:50 PM,ORD,Boeing 737-800
UA0269,United Airlines,12:40 PM,LAX,6:43 PM,ORD,Boeing 757-300
UA1897,United Airlines,2:03 PM,LAX,8:09 PM,ORD,Boeing 737-900
UA0824,United Airlines,8:40 AM,LAX,5:05 PM,BOS,Boeing 737-900
UA2305,United Airlines,8:20 AM,LAX,4:12 PM,IAD,Boeing 737-900
UA0653,United Airlines,1:40 PM,LAX,9:20 PM,IAD,Boeing 737-900
UA2388,United Airlines,10:44 AM,SFO,1:49 PM,PHX,Boeing 737-900
UA2398,United Airlines,12:52 PM,SFO,3:57 PM,PHX,Boeing 737-800
UA2405,United Airlines,7:01 PM,SFO,10:03 PM,PHX,Boeing 737-800
UA2411,United Airlines,8:27 PM,SFO,11:29 PM,PHX,Airbus A319
UA1549,United Airlines,6:25 AM,SFO,8:43 AM,SEA,Airbus A319
UA0277,United Airlines,11:22 AM,SFO,1:55 PM,SEA,Airbus A320
UA0759,United Airlines,12:52 PM,SFO,3:14 PM,SEA,Boeing 737-800
UA0447,United Airlines,4:24 PM,SFO,6:42 PM,SEA,Airbus A320
UA2161,United Airlines,6:45 PM,SFO,9:03 PM,SEA,Airbus A319
UA0733,United Airlines,7:46 PM,SFO,10:04 PM,SEA,Boeing 737-900
UA2115,United Airlines,6:25 AM,SFO,10:06 AM,DEN,Boeing 757-300
